number,value,datetime_start,datetime_complete,duration,params_atr_period,params_buy_signal_mode,params_fallback_signal,params_max_position_pct,params_max_positions,params_max_total_pct,params_overheat_ret5_threshold,params_overheat_rsi_threshold,params_signal_BOLL_BREAK,params_signal_HIGH_BREAK,params_signal_KDJ_GOLD,params_signal_MACD_GOLD,params_signal_MA_GOLD,params_signal_VOL_GOLD,params_stop_loss_mult,params_take_profit_mult,params_trailing_pct,params_trailing_start,params_weight_OVERHEAT,params_weight_PB,params_weight_PE_TTM,params_weight_RET_20,params_weight_RSI_1,params_weight_VOLUME_RATIO,state
0,0.0,2026-04-26 23:47:26.655434,2026-04-26 23:59:50.452967,0 days 00:12:23.797533,10,OR,VOL_GOLD,0.2950679746610411,4,0.8512202551059811,0.20157962049266254,86.98746399727362,off,off,on,on,off,off,1.5564768991842515,4.896329503372001,0.14024660852356688,0.09191236324013367,0.10100356435510742,0.25581632491437145,0.38328338394937417,0.10508616715977699,0.13141810217153566,0.07834109625360898,COMPLETE
1,0.0,2026-04-26 23:47:26.657445,2026-04-26 23:59:47.082626,0 days 00:12:20.425181,18,OR,VOL_GOLD,0.27663347038819497,6,0.4243641029233109,0.11653589244979214,80.57708745055928,off,off,on,off,off,off,3.1248837212801353,4.9553935918407,0.08493716704134288,0.022464872094610504,0.2820584380215553,0.07970523179235021,0.07437283002175579,0.3129577470208765,0.38688532026939965,0.05397723413125638,COMPLETE
2,2.2392690233487467,2026-04-26 23:47:26.658451,2026-04-26 23:59:51.544186,0 days 00:12:24.885735,18,AND,MACD_GOLD,0.08128859581244875,8,0.5611429713460122,0.20804288026642476,60.06564556478267,off,on,on,on,off,off,1.0530626926160973,4.443596496981268,0.09491936984403368,0.06322313910163851,0.06315409438720376,0.26917820624276206,0.21510952951213194,0.05838067544015933,0.3716743410548491,0.057266726392141684,COMPLETE
3,0.0,2026-04-26 23:47:26.660451,2026-04-27 00:00:09.788802,0 days 00:12:43.128351,15,OR,BOLL_BREAK,0.10115821928276438,8,0.7231894869747861,0.07940701725925052,86.48942789617014,on,off,on,off,off,off,1.394680034242115,3.4903971872409896,0.09045200098706702,0.03746722456279827,0.1907156329489267,0.3281776959254816,0.31192923761588287,0.01116340405355766,0.27025513196821366,0.020565637541118342,COMPLETE
4,-2.959399463027643,2026-04-26 23:59:47.084626,2026-04-27 00:10:32.540205,0 days 00:10:45.455579,19,AND,VOL_GOLD,0.2744598635358059,5,0.4240901847272855,0.217361753666786,87.88500654114551,on,on,off,on,off,off,2.528547994503424,3.7521816937940025,0.08632024821791287,0.06271371431727561,0.013797188919146252,0.1583968269605763,0.16385056952200766,0.32488636211606814,0.015414614695083349,0.3931899872548292,COMPLETE
5,0.0,2026-04-26 23:59:50.454966,2026-04-27 00:10:32.330433,0 days 00:10:41.875467,10,OR,BOLL_BREAK,0.10094667660877156,10,0.30533539034592166,0.12872537725514333,63.6067464033486,off,on,off,off,off,off,3.1488200180648613,3.0004213399352375,0.14374780196828607,0.06901211132987502,0.3630632290932677,0.32991042439532553,0.3694260643534243,0.3552116177402653,0.024376117190496947,0.2615852228290733,COMPLETE
6,-1.3631608376617907,2026-04-26 23:59:51.545710,2026-04-27 00:10:35.148201,0 days 00:10:43.602491,13,AND,BOLL_BREAK,0.2840203634807979,9,0.4795703575723749,0.14194365150249644,89.38360799398629,off,off,off,off,off,off,3.25807657881875,4.622491236231941,0.1520752398296648,0.04916675070890621,0.3888896648755142,0.17953254323765955,0.0354039859273325,0.39571565193327096,0.04386690705929378,0.3594981561629454,COMPLETE
7,-0.3061768661152292,2026-04-27 00:00:09.791802,2026-04-27 00:10:56.926063,0 days 00:10:47.134261,16,AND,VOL_GOLD,0.06773902688833226,8,0.9076441388366363,0.22312172445013145,62.65899640611327,on,off,off,off,off,on,2.371213525917961,2.5959076640500394,0.17790122492554128,0.03673847754073727,0.22622231908254226,0.28487335819857185,0.027398685626821365,0.10291232351195231,0.25740319779990983,0.12690685738322102,COMPLETE
8,0.04792380224006211,2026-04-27 00:10:32.333205,2026-04-27 00:20:51.987011,0 days 00:10:19.653806,7,AND,HIGH_BREAK,0.12331174235382521,4,0.6093271320946259,0.11835561744391117,62.789172722391804,off,on,on,off,off,on,1.096359164997095,2.594941703978266,0.16149187654518937,0.09271618949931021,0.3862299793385303,0.3349050798921857,0.12918326448815318,0.24523645359766377,0.29820008679187754,0.019984340450145736,COMPLETE
9,-0.9270057384694635,2026-04-27 00:10:32.542708,2026-04-27 00:20:53.576452,0 days 00:10:21.033744,12,OR,KDJ_GOLD,0.09761915847143658,7,0.5529183474526529,0.2521047846342094,73.76026889989994,off,on,on,off,off,off,1.2628702233769764,3.0324841432994907,0.09207469810194402,0.027184081139869188,0.08750006493084998,0.28277480036177083,0.16521540330308426,0.08448121312110064,0.01947858936606657,0.06142474146877821,COMPLETE
